01Аймаг/нийслэл,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
02Улсын дүн,22.5,20.8,20,19.4,19.1,18.5,18.3,18.4,18.8,19.1,19.6,19.5,20,20,20.3,20.7,20.9,21.1
03Баруун бүс,22.4,20.8,19.8,19,18.2,17.3,16.9,16.6,16.4,16.4,16.7,16.4,16.6,16.7,16.7,16.8,16.9,17
04Баян-Өлгий,21.1,19.9,18.7,17.9,17.2,16.6,16,15.5,15.4,15.1,15.3,15.1,14.9,15.1,14.9,14.8,14.8,15
05Говь-Алтай,21.5,20.1,19.5,18.7,18.4,17,16.9,16.8,16.4,16.2,16.2,15.9,15.6,15.3,14.9,15,15,14.9
06Завхан,21.4,19.7,19.1,17.9,17,16.5,16.3,16.1,16.3,16.3,16.4,16.1,16.6,16.8,17,16.8,16.5,16.4
07Увс,23.3,21.2,20.3,20,19,18,17.5,17.2,16.6,16.9,17.9,17.2,17.6,17.6,18,18.4,19.3,19.2
08Ховд,24.8,23.2,21.7,20.8,19.6,18.5,18,17.9,17.7,18,18.1,18.1,19,19.2,19.3,19.5,20.1,20.4
09Хангайн бүс,23.8,21.5,20.6,19.8,19,18.3,17.9,17.8,17.9,18.1,18.2,18.3,18.8,18.8,19.1,19.2,19.4,19.5
10Архангай,24.9,21.8,20.9,20,19.4,18.6,18.3,17.5,17.2,17.5,17.7,17.4,18,18.2,18.6,19.3,19.6,19.6
11Баянхонгор,26.1,22.6,21.6,20.2,19.3,18.2,17.8,17.9,17.8,18.1,18.4,18.3,18.9,19.4,19.7,18.9,19.1,19.3
12Булган,21,19.5,18.9,18.2,17.7,16.5,16.4,16.8,17,17,16.5,17.2,17.8,17.4,17.7,17.3,17.4,17.5
13Орхон,20.8,20.1,19.2,18.6,18.1,18.1,17.7,17.7,18.8,18.4,18.7,19.2,19.4,19.4,20.5,20.5,20.8,20.9
14Өвөрхангай,25.4,23.3,21.9,21.1,20.3,19.5,19,18.6,18.5,19.1,18.8,18.9,19.2,18.7,18.5,18.9,19.2,19.2
15Хөвсгөл,23.8,21.1,20.5,19.8,18.8,18,17.6,17.9,17.6,18.1,18.4,18.1,18.8,18.9,19,19.3,19.4,19.3
16Төвийн бүс,21.6,20.1,19.4,18.5,18.5,17.9,17.8,17.7,17.9,18.6,18.8,18.7,19.4,19.8,20.2,20.2,20.5,20.7
17Говьсүмбэр,20.5,18.3,17.5,8.4,17.7,17.4,17.9,17.8,18.4,18.5,19.3,18.5,20.5,20.8,20.1,19.7,20.3,21.4
18Дархан-Уул,20.7,19.4,18.8,18,17.8,17.7,17.5,17.5,18.2,18.8,18.9,19,19.9,20.2,21.1,21,21,21.3
